Device_id,Name,Type,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496172765702.810	,8.060,18.550000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496172765729.910	,7.000,19.190000,0
0,aclnnPowTensorScalar_PowsAiCore_Pows,N/A,N/A,1780496172765772.150	,12.440,35.250000,0
0,aclnnMean_ReduceMeanAiCore_ReduceMean,N/A,N/A,1780496172765790.470	,14.000,5.810000,0
0,aclnnAdds_AddAiCore_Add,N/A,N/A,1780496172765807.850	,1.060,3.250000,0
0,aclnnRsqrt_RsqrtAiCore_Rsqrt,N/A,N/A,1780496172765810.090	,0.940,1.190000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172765828.030	,14.680,17.060000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496172765842.730	,7.060,0.070000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172765855.770	,9.580,5.940000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496172765896.050	,29.040,30.670000,0
0,aclnnSilu_SiluAiCore_Swish,N/A,N/A,1780496172765925.110	,9.600,0.000000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496172765942.470	,28.900,7.900000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172765971.410	,9.860,0.100000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496172765981.310	,26.400,0.000000,0
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496172766007.730	,8.000,0.100000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496172766027.990	,6.720,12.250000,0
0,aclnnPowTensorScalar_PowsAiCore_Pows,N/A,N/A,1780496172766034.730	,12.480,0.030000,0
0,aclnnMean_ReduceMeanAiCore_ReduceMean,N/A,N/A,1780496172766060.990	,14.120,13.770000,0
0,aclnnAdds_AddAiCore_Add,N/A,N/A,1780496172766076.090	,1.180,0.880000,0
0,aclnnRsqrt_RsqrtAiCore_Rsqrt,N/A,N/A,1780496172766079.390	,0.980,2.320000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172766081.890	,13.940,1.520000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496172766098.630	,6.920,2.810000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172766113.650	,9.360,8.080000,0
0,aclnnAddmm_MatMulCommon_MatMulV2,N/A,N/A,1780496172766175.430	,10.620,52.390000,0
0,aclnnAddmm_MatMulCommon_MatMulV2,N/A,N/A,1780496172766204.610	,5.820,18.380000,0
0,aclnnAddmm_MatMulCommon_MatMulV2,N/A,N/A,1780496172766234.130	,4.900,23.930000,0
0,aclnnMul_TransposeAiCore_Transpose,N/A,N/A,1780496172766273.910	,13.900,34.850000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172766287.830	,9.640,0.000000,0
0,aclnnNeg_SliceAiCore_Slice,N/A,N/A,1780496172766297.810	,3.800,0.360000,0
0,aclnnNeg_TransposeAiCore_Transpose,N/A,N/A,1780496172766307.990	,14.660,6.450000,0
0,aclnnNeg_NegAiCore_Neg,N/A,N/A,1780496172766322.670	,7.860,0.090000,0
0,aclnnCat_SliceAiCore_Slice,N/A,N/A,1780496172766330.570	,3.720,0.000000,0
0,aclnnCat_TransposeAiCore_Transpose,N/A,N/A,1780496172766334.310	,16.860,0.030000,0
0,aclnnCat_ConcatD_ConcatD,N/A,N/A,1780496172766351.210	,4.200,0.140000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172766355.430	,7.660,0.050000,0
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496172766363.110	,8.240,0.000000,0
0,aclnnMul_TransposeAiCore_Transpose,N/A,N/A,1780496172766376.830	,14.320,5.510000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172766391.170	,4.760,0.180000,0
0,aclnnNeg_SliceAiCore_Slice,N/A,N/A,1780496172766395.950	,2.400,0.000000,0
0,aclnnNeg_TransposeAiCore_Transpose,N/A,N/A,1780496172766398.370	,14.020,0.000000,0
0,aclnnNeg_NegAiCore_Neg,N/A,N/A,1780496172766412.430	,1.600,0.230000,0
0,aclnnCat_SliceAiCore_Slice,N/A,N/A,1780496172766414.050	,2.780,0.000000,0
0,aclnnCat_TransposeAiCore_Transpose,N/A,N/A,1780496172766416.850	,14.000,0.000000,0
0,aclnnCat_ConcatD_ConcatD,N/A,N/A,1780496172766430.870	,2.640,0.000000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172766433.550	,3.460,0.110000,0
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496172766437.030	,1.580,0.040000,0
0,aclnnCat_TransposeAiCore_Transpose,N/A,N/A,1780496172766520.550	,14.720,81.920000,0
0,aclnnInplaceCopy_BroadcastToAiCore_BroadcastTo,N/A,N/A,1780496172766591.070	,12.180,55.780000,0
0,aclnnInplaceCopy_BroadcastToAiCore_BroadcastTo,N/A,N/A,1780496172766622.890	,6.780,19.820000,0
0,aclnnInplaceOne_OnesLikeAiCore_OnesLike,N/A,N/A,1780496172766645.970	,18.180,16.220000,0
0,aclnnTriu_Triu_Triu,N/A,N/A,1780496172766664.170	,27.520,0.070000,0
0,aclnnFlashAttentionScore_FlashAttentionScore_FlashAttentionScore,N/A,N/A,1780496172766692.930	,52.660,1.230000,0
0,aclnnInplaceCopy_TransposeAiCore_Transpose,N/A,N/A,1780496172766746.430	,14.440,0.840000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496172766770.930	,9.860,10.060000,0
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496172766784.810	,8.120,3.890000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496172766804.330	,6.880,11.380000,0
0,aclnnPowTensorScalar_PowsAiCore_Pows,N/A,N/A,1780496172766818.350	,12.740,7.120000,0
0,aclnnMean_ReduceMeanAiCore_ReduceMean,N/A,N/A,1780496172766841.130	,13.460,10.260000,0
0,aclnnAdds_AddAiCore_Add,N/A,N/A,1780496172766863.650	,1.200,9.040000,0
0,aclnnRsqrt_RsqrtAiCore_Rsqrt,N/A,N/A,1780496172766865.390	,0.940,0.550000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172766872.350	,14.040,5.810000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496172766893.130	,7.040,6.960000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172766904.230	,9.580,3.960000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496172766948.410	,28.040,34.670000,0
0,aclnnSilu_SiluAiCore_Swish,N/A,N/A,1780496172766976.490	,9.480,0.000000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496172766985.990	,28.600,0.020000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172767014.610	,13.160,0.000000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496172767027.790	,26.180,0.090000,0
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496172767053.990	,8.120,0.070000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496172767069.610	,6.860,7.380000,0
0,aclnnPowTensorScalar_PowsAiCore_Pows,N/A,N/A,1780496172767076.490	,12.480,0.140000,0
0,aclnnMean_ReduceMeanAiCore_ReduceMean,N/A,N/A,1780496172767089.910	,13.660,1.020000,0
0,aclnnAdds_AddAiCore_Add,N/A,N/A,1780496172767104.450	,1.120,0.840000,0
0,aclnnRsqrt_RsqrtAiCore_Rsqrt,N/A,N/A,1780496172767107.050	,0.940,1.380000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172767117.030	,13.780,9.060000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496172767130.830	,6.900,0.000000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172767138.290	,9.360,0.600000,0
0,aclnnAddmm_MatMulCommon_MatMulV2,N/A,N/A,1780496172767201.350	,12.040,53.640000,0
0,aclnnAddmm_MatMulCommon_MatMulV2,N/A,N/A,1780496172767222.790	,6.380,9.460000,0
0,aclnnAddmm_MatMulCommon_MatMulV2,N/A,N/A,1780496172767260.150	,4.920,31.120000,0
0,aclnnMul_TransposeAiCore_Transpose,N/A,N/A,1780496172767292.490	,15.320,27.330000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172767307.830	,9.940,0.000000,0
0,aclnnNeg_SliceAiCore_Slice,N/A,N/A,1780496172767319.090	,3.720,1.310000,0
0,aclnnNeg_TransposeAiCore_Transpose,N/A,N/A,1780496172767328.210	,15.820,5.530000,0
0,aclnnNeg_NegAiCore_Neg,N/A,N/A,1780496172767344.070	,7.920,0.000000,0
0,aclnnCat_SliceAiCore_Slice,N/A,N/A,1780496172767352.030	,3.800,0.080000,0
0,aclnnCat_TransposeAiCore_Transpose,N/A,N/A,1780496172767355.850	,16.840,0.000000,0
0,aclnnCat_ConcatD_ConcatD,N/A,N/A,1780496172767372.730	,4.020,0.160000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172767376.770	,7.540,0.000000,0
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496172767384.350	,8.120,0.000000,0
0,aclnnMul_TransposeAiCore_Transpose,N/A,N/A,1780496172767393.050	,17.580,0.630000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172767410.650	,4.820,0.170000,0
0,aclnnNeg_SliceAiCore_Slice,N/A,N/A,1780496172767415.490	,2.360,0.000000,0
0,aclnnNeg_TransposeAiCore_Transpose,N/A,N/A,1780496172767431.150	,14.180,13.390000,0
0,aclnnNeg_NegAiCore_Neg,N/A,N/A,1780496172767445.350	,1.620,0.000000,0
0,aclnnCat_SliceAiCore_Slice,N/A,N/A,1780496172767447.010	,2.640,0.130000,0
0,aclnnCat_TransposeAiCore_Transpose,N/A,N/A,1780496172767449.670	,13.400,0.110000,0
0,aclnnCat_ConcatD_ConcatD,N/A,N/A,1780496172767463.090	,2.620,0.000000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496172767465.730	,3.220,0.130000,0
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496172767468.970	,1.600,0.030000,0
0,aclnnCat_TransposeAiCore_Transpose,N/A,N/A,1780496172767535.390	,14.420,64.900000,0
0,aclnnInplaceCopy_BroadcastToAiCore_BroadcastTo,N/A,N/A,1780496172767587.890	,12.060,38.080000,0
0,aclnnInplaceCopy_BroadcastToAiCore_BroadcastTo,N/A,N/A,1780496172767619.330	,6.720,19.190000,0
0,aclnnInplaceOne_OnesLikeAiCore_OnesLike,N/A,N/A,1780496172767649.150	,18.100,23.280000,0
