Device_id,Name,Type,Accelerator Core,Start Time(us),Duration(us),Wait Time(us),Block Dim
0,aclnnMean_ReduceMeanAiCore_ReduceMean,N/A,N/A,1780496216334021.870	,15.240,1.140000,0
0,aclnnAdds_AddAiCore_Add,N/A,N/A,1780496216334038.190	,1.120,1.260000,0
0,aclnnRsqrt_RsqrtAiCore_Rsqrt,N/A,N/A,1780496216334039.350	,0.940,0.000000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216334040.310	,19.060,0.060000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496216334059.390	,6.940,0.190000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216334066.350	,10.180,0.000000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216334076.550	,124.280,0.070000,0
0,aclnnSilu_SiluAiCore_Swish,N/A,N/A,1780496216334200.850	,13.600,0.000000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216334214.470	,122.340,0.150000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216334336.830	,10.360,0.000000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216334347.210	,164.780,0.140000,0
0,aclnnAdd_AddAiCore_Add,N/A,N/A,1780496216334512.030	,9.460,0.000000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496216334521.530	,7.440,0.040000,0
0,aclnnPowTensorScalar_PowsAiCore_Pows,N/A,N/A,1780496216334528.990	,15.740,0.060000,0
0,aclnnMean_ReduceMeanAiCore_ReduceMean,N/A,N/A,1780496216334546.050	,16.420,1.260000,0
0,aclnnAdds_AddAiCore_Add,N/A,N/A,1780496216334563.610	,1.160,1.080000,0
0,aclnnRsqrt_RsqrtAiCore_Rsqrt,N/A,N/A,1780496216334564.810	,1.060,0.090000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216334565.890	,17.220,0.190000,0
0,aclnnCast_CastAiCore_Cast,N/A,N/A,1780496216334583.130	,6.780,0.030000,0
0,aclnnMul_MulAiCore_Mul,N/A,N/A,1780496216334589.930	,9.920,0.000000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216334599.870	,62.400,0.000000,0
0,aclnnMatmul_MatMulCommon_MatMulV2,N/A,N/A,1780496216334662.290	,17.620,0.100000,0
